"","DIA.Open","DIA.High","DIA.Low","DIA.Close","DIA.Volume","DIA.WAP","DIA.hasGaps","DIA.Count"
"2020-01-17 13:27:00",293.1,293.11,293.09,293.09,5,293.1,0,3
"2020-01-17 13:28:00",293.1,293.12,293.1,293.1,18,293.11,0,7
"2020-01-17 13:29:00",293.1,293.11,293.1,293.1,2,293.101,0,2
"2020-01-17 13:30:00",293.15,293.16,293.13,293.15,12,293.148,0,7
"2020-01-17 13:31:00",293.16,293.19,293.16,293.18,15,293.178,0,14
"2020-01-17 13:32:00",293.18,293.19,293.17,293.19,18,293.182,0,11
"2020-01-17 13:33:00",293.17,293.19,293.16,293.19,15,293.182,0,4
"2020-01-17 13:34:00",293.22,293.25,293.22,293.25,35,293.236,0,22
"2020-01-17 13:35:00",293.25,293.26,293.25,293.25,7,293.251,0,5
"2020-01-17 13:36:00",293.19,293.22,293.17,293.17,16,293.189,0,5
"2020-01-17 13:37:00",293.15,293.15,293.15,293.15,5,293.15,0,4
"2020-01-17 13:38:00",293.12,293.12,293.08,293.08,20,293.096,0,18
"2020-01-17 13:39:00",293.07,293.11,293.07,293.11,4,293.1,0,3
"2020-01-17 13:40:00",293.09,293.09,293.08,293.08,14,293.089,0,8
"2020-01-17 13:41:00",293.07,293.07,293.07,293.07,2,293.07,0,1
"2020-01-17 13:42:00",293.1,293.1,293.08,293.08,2,293.09,0,2
"2020-01-17 13:43:00",293.08,293.08,293.05,293.06,23,293.064,0,17
"2020-01-17 13:44:00",293.06,293.09,293.06,293.07,7,293.069,0,3
"2020-01-17 13:45:00",293.07,293.07,293,293.01,35,293.032,0,15
"2020-01-17 13:46:00",293.03,293.05,293.03,293.03,11,293.04,0,6
"2020-01-17 13:47:00",293.05,293.07,293.02,293.05,43,293.054,0,21
"2020-01-17 13:48:00",293.03,293.05,293.02,293.03,16,293.031,0,5
"2020-01-17 13:49:00",293.04,293.05,293.04,293.05,8,293.045,0,5
"2020-01-17 13:50:00",293.05,293.05,293.02,293.02,19,293.039,0,8
"2020-01-17 13:51:00",293.05,293.07,293.04,293.07,39,293.052,0,9
"2020-01-17 13:52:00",293.04,293.05,293.04,293.05,14,293.047,0,7
"2020-01-17 13:53:00",293.01,293.01,293.01,293.01,2,293.01,0,1
"2020-01-17 13:54:00",293.05,293.07,293.05,293.06,26,293.052,0,16
"2020-01-17 13:55:00",293.05,293.11,293.05,293.1,45,293.068,0,26
"2020-01-17 13:56:00",293.09,293.13,293.08,293.12,22,293.111,0,9
"2020-01-17 13:57:00",293.13,293.14,293.13,293.14,4,293.132,0,3
"2020-01-17 13:58:00",293.15,293.2,293.15,293.2,7,293.186,0,2
"2020-01-17 13:59:00",293.17,293.2,293.17,293.19,25,293.178,0,12
"2020-01-17 14:00:00",293.2,293.2,293.16,293.16,28,293.177,0,12
"2020-01-17 14:01:00",293.17,293.2,293.17,293.2,6,293.184,0,6
"2020-01-17 14:02:00",293.2,293.23,293.19,293.2,43,293.203,0,22
"2020-01-17 14:03:00",293.18,293.18,293.15,293.15,18,293.157,0,8
"2020-01-17 14:04:00",293.15,293.15,293.09,293.11,19,293.115,0,12
"2020-01-17 14:05:00",293.1,293.11,293.09,293.11,39,293.1,0,21
"2020-01-17 14:06:00",293.1,293.11,293.09,293.09,53,293.095,0,19
"2020-01-17 14:07:00",293.09,293.1,293,293.01,84,293.021,0,47
"2020-01-17 14:08:00",293,293,292.93,292.97,145,292.971,0,95
"2020-01-17 14:09:00",292.97,293.01,292.97,292.98,11,292.989,0,8
"2020-01-17 14:10:00",292.99,292.99,292.99,292.99,255,292.99,0,9
"2020-01-17 14:11:00",292.93,292.94,292.87,292.87,105,292.895,0,45
"2020-01-17 14:12:00",292.86,292.87,292.86,292.86,20,292.866,0,10
"2020-01-17 14:13:00",292.85,292.92,292.85,292.91,30,292.875,0,21
"2020-01-17 14:14:00",292.91,292.95,292.91,292.95,17,292.934,0,9
"2020-01-17 14:15:00",292.95,292.99,292.95,292.99,6,292.975,0,6
"2020-01-17 14:16:00",292.97,293.01,292.97,293.01,48,292.988,0,19
"2020-01-17 14:17:00",293.01,293.04,293,293,23,293.018,0,18
"2020-01-17 14:18:00",292.99,293.02,292.93,292.93,30,292.976,0,21
"2020-01-17 14:19:00",292.92,292.92,292.89,292.92,9,292.903,0,9
"2020-01-17 14:20:00",292.92,292.92,292.87,292.88,39,292.889,0,14
"2020-01-17 14:21:00",292.88,292.9,292.86,292.89,30,292.872,0,17
"2020-01-17 14:22:00",292.87,292.89,292.87,292.89,9,292.888,0,5
"2020-01-17 14:23:00",292.91,292.93,292.91,292.93,4,292.922,0,3
"2020-01-17 14:24:00",292.91,292.92,292.91,292.92,2,292.915,0,2
"2020-01-17 14:25:00",292.9,292.98,292.9,292.97,23,292.964,0,13
"2020-01-17 14:26:00",292.96,293.02,292.96,293.02,12,292.986,0,8
"2020-01-17 14:27:00",293.02,293.05,293.01,293.04,45,293.027,0,20
"2020-01-17 14:28:00",293.03,293.04,293.02,293.04,4,293.032,0,4
"2020-01-17 14:29:00",293.03,293.07,293.03,293.06,43,293.052,0,26
"2020-01-17 14:30:00",293.06,293.16,293.04,293.15,83,293.122,0,49
"2020-01-17 14:31:00",293.15,293.21,293.12,293.21,25,293.189,0,16
"2020-01-17 14:32:00",293.21,293.21,293.17,293.18,17,293.196,0,11
